[0.001, 0.001, 0.500, 0.400]:3.9747481531229014
[0.001, 0.001, 0.500, 0.500]:3.9662441627751837
[0.001, 0.001, 0.500, 0.600]:3.9578528827037767
[0.001, 0.001, 0.500, 0.700]:3.949572086899276
[0.001, 0.001, 0.500, 0.800]:3.9413996075866584
[0.001, 0.001, 0.500, 0.900]:3.9333333333333327
[0.001, 0.001, 0.500, 0.999]:3.9254503195816386
[0.001, 0.001, 0.600, 0.001]:3.933253199922033
[0.001, 0.001, 0.600, 0.100]:3.925371207230472
[0.001, 0.001, 0.600, 0.200]:3.917511225144323
[0.001, 0.001, 0.600, 0.300]:3.9097514340344177
[0.001, 0.001, 0.600, 0.400]:3.9020899303356567
[0.001, 0.001, 0.600, 0.500]:3.8945248584015113
[0.001, 0.001, 0.600, 0.600]:3.887054409005629
[0.001, 0.001, 0.600, 0.700]:3.879676817899317
[0.001, 0.001, 0.600, 0.800]:3.8723903644224835
[0.001, 0.001, 0.600, 0.900]:3.865193370165747
[0.001, 0.001, 0.600, 0.999]:3.8581548599670517
[0.001, 0.001, 0.700, 0.001]:3.8651218464182673
[0.001, 0.001, 0.700, 0.100]:3.8580841976815137
[0.001, 0.001, 0.700, 0.200]:3.8510612492419645
[0.001, 0.001, 0.700, 0.300]:3.8441229656419535
[0.001, 0.001, 0.700, 0.400]:3.837267825044937
[0.001, 0.001, 0.700, 0.500]:3.8304943418701605
[0.001, 0.001, 0.700, 0.600]:3.82380106571936
[0.001, 0.001, 0.700, 0.700]:3.8171865803413767
[0.001, 0.001, 0.700, 0.800]:3.810649502633118
[0.001, 0.001, 0.700, 0.900]:3.804188481675392
[0.001, 0.001, 0.700, 0.999]:3.797865694950547
[0.001, 0.001, 0.800, 0.001]:3.804124251061602
[0.001, 0.001, 0.800, 0.100]:3.797802197802198
[0.001, 0.001, 0.800, 0.200]:3.7914893617021277
[0.001, 0.001, 0.800, 0.300]:3.7852487135506006
[0.001, 0.001, 0.800, 0.400]:3.7790790221716883
[0.001, 0.001, 0.800, 0.500]:3.772979084228378
[0.001, 0.001, 0.800, 0.600]:3.7669477234401354
[0.001, 0.001, 0.800, 0.700]:3.7609837898267187
[0.001, 0.001, 0.800, 0.800]:3.7550861589772095
[0.001, 0.001, 0.800, 0.900]:3.749253731343283
[0.001, 0.001, 0.800, 0.999]:3.7435428005937657
[0.001, 0.001, 0.900, 0.001]:3.749195732684761
[0.001, 0.001, 0.900, 0.100]:3.7434854315558
[0.001, 0.001, 0.900, 0.200]:3.7377802077638056
[0.001, 0.001, 0.900, 0.300]:3.732137030995107
[0.001, 0.001, 0.900, 0.400]:3.726554894537589
[0.001, 0.001, 0.900, 0.500]:3.721032813340506
[0.001, 0.001, 0.900, 0.600]:3.715569823434992
[0.001, 0.001, 0.900, 0.700]:3.7101649813730706
[0.001, 0.001, 0.900, 0.800]:3.70481736368449
[0.001, 0.001, 0.900, 0.900]:3.699526066350712
[0.001, 0.001, 0.900, 0.999]:3.6943422913719957
[0.001, 0.001, 0.999, 0.001]:3.6999473185122747
[0.001, 0.001, 0.999, 0.100]:3.6947591845291132
[0.001, 0.001, 0.999, 0.200]:3.6895730149627233
[0.001, 0.001, 0.999, 0.300]:3.6844406410455885
[0.001, 0.001, 0.999, 0.400]:3.679361230070688
[0.001, 0.001, 0.999, 0.500]:3.6743339664288284
[0.001, 0.001, 0.999, 0.600]:3.669358051172054
[0.001, 0.001, 0.999, 0.700]:3.6644327015903655
[0.001, 0.001, 0.999, 0.800]:3.659557150801274
[0.001, 0.001, 0.999, 0.900]:3.6547306473517427
[0.001, 0.001, 0.999, 0.999]:3.65
[0.001, 0.100, 0.001, 0.001]:4.598081001918998
[0.001, 0.100, 0.001, 0.100]:4.57929
[0.001, 0.100, 0.001, 0.200]:4.560683168316831
[0.001, 0.100, 0.001, 0.300]:4.542441176470588
[0.001, 0.100, 0.001, 0.400]:4.524553398058253
[0.001, 0.100, 0.001, 0.500]:4.507009615384614
[0.001, 0.100, 0.001, 0.600]:4.489799999999999
[0.001, 0.100, 0.001, 0.700]:4.472915094339622
[0.001, 0.100, 0.001, 0.800]:4.456345794392523
[0.001, 0.100, 0.001, 0.900]:4.440083333333333
[0.001, 0.100, 0.001, 0.999]:4.424277456647399
[0.001, 0.100, 0.100, 0.001]:4.441373239436619
[0.001, 0.100, 0.100, 0.100]:4.425544027178405
[0.001, 0.100, 0.100, 0.200]:4.409844418160312
[0.001, 0.100, 0.100, 0.300]:4.394427914525289
[0.001, 0.100, 0.100, 0.400]:4.379286926994906
[0.001, 0.100, 0.100, 0.500]:4.364414135151891
[0.001, 0.100, 0.100, 0.600]:4.349802475638662
[0.001, 0.100, 0.100, 0.700]:4.335445130972064
[0.001, 0.100, 0.100, 0.800]:4.321335518937106
[0.001, 0.100, 0.100, 0.900]:4.307467282525019
[0.001, 0.100, 0.100, 0.999]:4.293969465648855
[0.001, 0.100, 0.200, 0.001]:4.307329798152582
[0.001, 0.100, 0.200, 0.100]:4.293834280383344
[0.001, 0.100, 0.200, 0.200]:4.280430577747876
[0.001, 0.100, 0.200, 0.300]:4.267250437828371
[0.001, 0.100, 0.200, 0.400]:4.254288313621702
[0.001, 0.100, 0.200, 0.500]:4.241538840127963
[0.001, 0.100, 0.200, 0.600]:4.228996826946545
[0.001, 0.100, 0.200, 0.700]:4.216657251230731
[0.001, 0.100, 0.200, 0.800]:4.204515250980706
[0.001, 0.100, 0.200, 0.900]:4.192566118656184
[0.001, 0.100, 0.200, 0.999]:4.180921985815602
[0.001, 0.100, 0.300, 0.001]:4.192447585768742
[0.001, 0.100, 0.300, 0.100]:4.180805295091011
[0.001, 0.100, 0.300, 0.200]:4.169228363693223
[0.001, 0.100, 0.300, 0.300]:4.157831044915056
[0.001, 0.100, 0.300, 0.400]:4.1466091909783716
[0.001, 0.100, 0.300, 0.500]:4.1355587808418
[0.001, 0.100, 0.300, 0.600]:4.124675915396862
[0.001, 0.100, 0.300, 0.700]:4.1139568128808985
[0.001, 0.100, 0.300, 0.800]:4.103397804495558
[0.001, 0.100, 0.300, 0.900]:4.092995330220148
[0.001, 0.100, 0.300, 0.999]:4.082847682119207
[0.001, 0.100, 0.400, 0.001]:4.092892084198043
[0.001, 0.100, 0.400, 0.100]:4.082745934809801
[0.001, 0.100, 0.400, 0.200]:4.072646263969031
[0.001, 0.100, 0.400, 0.300]:4.062693060691755
[0.001, 0.100, 0.400, 0.400]:4.0528831617594125
[0.001, 0.100, 0.400, 0.500]:4.04321349438925
[0.001, 0.100, 0.400, 0.600]:4.033681073025335
[0.001, 0.100, 0.400, 0.700]:4.024282996265239
[0.001, 0.100, 0.400, 0.800]:4.0150164439157505
[0.001, 0.100, 0.400, 0.900]:4.005878674171358
[0.001, 0.100, 0.400, 0.999]:3.996956521739131
[0.001, 0.100, 0.500, 0.001]:4.0057879377431895
[0.001, 0.100, 0.500, 0.100]:3.9968670209095305
[0.001, 0.100, 0.500, 0.200]:3.9879788910972516
[0.001, 0.100, 0.500, 0.300]:3.979211762303451
